0.0100192		-0.0804393
0.0200463		-0.0603897
0.0300728		-0.0403086
0.0401499		-0.0201792
0.0501763		-0.000107691
0.0602061		0.0199856
0.0702536		0.0401383
0.0802752		0.060218
0.0902835		0.0802435
0.100324		0.100297
0.100351		0.100327
0.100347		0.100323
0.100348		0.100324
0.100298		0.100274
0.100298		0.100274
0.100296		0.100272
0.100273		0.100249
0.100279		0.100254
0.1003		0.100275
0.100283		0.100259
0.100264		0.100239
0.100281		0.100256
0.100329		0.100304
0.100372		0.100347
0.10037		0.100345
0.100395		0.100371
0.100466		0.100442
0.100476		0.100452
0.100463		0.100439
0.100455		0.100431
0.100472		0.100449
0.100475		0.100451
0.100489		0.100465
0.10048		0.100456
0.100552		0.100528
0.100556		0.100532
0.100512		0.100487
0.100496		0.10047
0.100498		0.100472
0.100541		0.100515
0.100571		0.100544
0.100553		0.100526
0.100522		0.100496
0.100516		0.100489
0.100467		0.100441
0.100474		0.100448
0.10053		0.100505
0.10057		0.100546
0.100572		0.100548
0.100527		0.100503
